Teaching Score,Overall Count,Filtered Count,Journal,Identifier,Date,Author,Overall Rank,ID,Type,Title
    0.29936305732484075,235,21.0,null,008555805-2,C2001,Hill Charles W. L.,1303,10362230,text,Global Business Today    
    0.7261146496815286,647,20.0,null,005829487-2,C1995,Booth Wayne C.,244,716071,text,The Craft of Research    
    0.8560509554140128,934,20.0,null,000669086-6,19---],Stoker Bram 1847-1912,120,1306146,text,Dracula    
    0.050955414012738856,40,20.0,null,001950313-X,C1990,MacDonald Ann-Marie 1958,15301,2320999,text,Goodnight Desdemona (Good Morning Juliet)    
    0.6993630573248407,617,19.0,null,005609639-9,null,Glaspell Susan 1876-1948,268,530799,text,Trifles    
    0.024203821656050957,19,19.0,null,011535582-0,C2008,Paris Erna 1938,38055,2739030,text,The Sun Climbs Slow : Justice in the Age of Imperial America    
    0.7719745222929937,723,19.0,null,005691502-0,C1995,Barber Benjamin R. 1939,199,600301,text,Jihad vs. McWorld    
    0.8254777070063695,836,19.0,null,000933929-9,1970,Wilde Oscar 1854-1900,145,1529697,text,The Importance of Being Earnest    
    0.7464968152866241,676,19.0,null,009243980-2,2003,Behn Aphra 1640-1689,225,3251393,text,Oroonoko    
    0.0267515923566879,21,18.0,null,000444799-9,C1986,Jackson Robert J. 1936,33852,1149626,text,Politics in Canada : Culture Institutions Behaviour and Public Policy    
    0.8585987261146497,939,18.0,null,009821644-9,199-?],Swift Jonathan 1667-1745,118,3606002,text,A Modest Proposal    
    0.035668789808917196,28,18.0,Human Rights Quarterly,20069768,2004-11-01,Hoffman Paul,23955,12414836,text,Human Rights and Terrorism    
    0.030573248407643312,24,18.0,null,011574468-1,C2008,Flanagan Thomas 1944,28802,2765684,text,First Nations? Second Thoughts    
    0.03821656050955414,30,17.0,null,001671482-2,1970],Taylor Telford,21975,2109001,text,Nuremberg and Vietnam: An American Tragedy    
    0.04331210191082802,34,17.0,null,011462397-X,2008,Kagan Robert,18760,2691180,text,The Return of History and the End of Dreams    
    0.267515923566879,210,17.0,null,009823119-7,199-?],Marlowe Christopher 1564-1593,1521,3607405,text,Passionate Shepherd to His Love    
    0.9707006369426752,1834,17.0,null,000379428-8,1976 C1958,Achebe Chinua,24,1105281,text,Things Fall Apart    
    0.1681528662420382,132,17.0,null,011385995-3,C1993 2007,King Thomas 1943,2946,2646297,text,Green Grass Running Water    
    0.1681528662420382,132,17.0,Mind,2248233,1909-01-01,Taylor A. E.,2946,13947475,text,New Books    
    0.02165605095541401,17,17.0,null,011814196-1,2008,Pither Kerry,43304,2962003,text,Dark Days : The Story of Four Canadians Tortured in the Name of Fighting Terror    
    0.7057324840764331,623,17.0,null,003911913-0,C1993,Chaucer Geoffrey -1400,262,6794348,text,The General Prologue    
    0.05222929936305733,41,17.0,null,012185773-5,1852,Moodie Susanna 1803-1885,14804,6986863,text,Roughing It in the Bush    
    0.9452229299363057,1440,17.0,null,005484777-X,C1994,Shakespeare William 1564-1616,45,424130,text,The Tempest    
    0.6509554140127388,549,17.0,null,011258456-X,1967],Coleridge Samuel Taylor 1772-1834,326,2565642,text,The Ancient Mariner    
    0.04076433121019108,32,17.0,null,010216003-1,2006,Johnson Chalmers A.,20236,8997228,text,Nemesis : The Last Days of the American Republic    
    0.06369426751592357,50,17.0,null,008629326-5,2001,Hitchens Christopher,11365,10412751,text,The Trial of Henry Kissinger    
    0.07006369426751592,55,17.0,null,005445320-8,C1995,Christians Clifford G.,10049,389472,text,Media Ethics : Cases & Moral Reasoning    
    0.6560509554140127,555,17.0,null,000868953-9,1978,Coleridge Samuel Taylor 1772-1834,320,1475930,text,The Rime of the Ancient Mariner    
    0.15414012738853503,121,17.0,null,001504643-5,1988,Sheehan Neil,3331,1982240,text,A Bright Shining Lie : John Paul Vann and America in Vietnam    
    0.03694267515923567,29,17.0,null,008988587-2,2002,Clarkson Stephen,22904,10660854,text,Uncle Sam and Us : Globalization Neoconservatism and the Canadian State    
    0.7490445859872611,684,16.0,null,009716831-9,1964?],Pope Alexander 1688-1744,223,3539925,text,The Rape of the Lock    
    0.9923566878980892,2671,16.0,null,005287496-6,1947?] ,Hobbes Thomas 1588-1679,7,252855,text,Leviathan    
    0.640764331210191,541,16.0,null,000513642-3,1981,Abrams M. H. (Meyer Howard) 1912,339,1197199,text,A Glossary of Literary Terms    
    0.5579617834394904,452,16.0,null,009824520-1,1993,Poe Edgar Allan 1809-1849,449,3608724,text,The Cask of Amontillado    
    0.48152866242038217,381,16.0,null,009710282-2,C2006,Ross Stephen A.,590,3535566,text,Fundamentals of Corporate Finance    
    0.0535031847133758,42,16.0,null,009065008-5,2003,Broomhall Bruce,14348,3128474,text,International Justice and the International Criminal Court : Between Sovereignty and the Rule of Law    
    0.02929936305732484,23,16.0,null,002275275-7,1991,Valverde Mariana 1955,30399,8310959,text,The Age of Light Soap and Water : Moral Reform in English Canada 1885-1925    
    0.02165605095541401,17,16.0,The American Journal of International Law,4091370,2006-07-01,Meron Theodor,43304,10764798,text,Reflections on the Prosecution of War Crimes by International Tribunals    
    0.02802547770700637,22,16.0,Global Governance,27800300,2001-07-01,Ayoob Mohammed,32049,11771408,text,Humanitarian Intervention and International Society    
    0.9910828025477707,2652,16.0,null,005154703-1,C1992,Machiavelli Niccol\u00f2 1469-1527,8,134715,text,The Prince    
    0.034394904458598725,27,16.0,null,003440133-4,C1993,Dyck Perry Rand 1943,24956,6375393,text,Canadian Politics : Critical Approaches    
    0.0267515923566879,21,16.0,null,008154006-X,C1999,Backhouse Constance 1952,33852,10092660,text,Colour-Coded : A Legal History of Racism in Canada 1900-1950    
    0.4942675159235669,393,15.0,null,005801796-8,1884,Keats John 1795-1821,563,692493,text,Ode to a Nightingale    
    0.6343949044585987,535,15.0,null,009450299-4,null,Keats John 1795-1821,345,3390091,text,Ode on a Grecian Urn    
    0.7541401273885351,691,15.0,null,005713940-7,null,Hansberry Lorraine 1930-1965,215,619053,text,A Raisin in the Sun    
    0.21273885350318472,167,15.0,null,001760553-9,1989,Montgomery L. M. (Lucy Maud) 1874-1942,2088,2175472,text,Anne of Green Gables    
    0.02038216560509554,16,15.0,null,007445678-4,C1997,Strange Carolyn 1959,46478,7708890,text,Making Good : Law and Moral Regulation in Canada 1867-1939    
    0.8662420382165605,958,15.0,null,005036208-9,1937,Dickens Charles 1812-1870,112,30890,text,Great Expectations    
    0.9515923566878981,1476,15.0,null,000121025-4,1979-1988,Foucault Michel  1926-1984,40,945279,text,The History of Sexuality    
    0.07770700636942675,61,15.0,null,000422213-X,C1978,Ignatieff Michael,8726,1134461,text,A Just Measure of Pain : The Penitentiary in the Industrial Revolution 1750-1850    
    0.03184713375796178,25,15.0,null,007374546-4,1998,Bentley D. J. (David Jeffrey),27436,7656331,text,English Criminal Justice in the Nineteenth Century    
    0.956687898089172,1589,14.0,null,005988594-7,1995,Fitzgerald F. Scott (Francis Scott) 1896-1940,36,853902,text,The Great Gatsby    
    0.9885350318471338,2395,14.0,null,005699278-5,n.d.],Shakespeare William 1564-1616,10,607094,text,Hamlet    
    0.05732484076433121,45,14.0,null,000406032-6,C1986,Beattie J. M.,13101,1123562,text,Crime and the Courts in England 1660-1800    
    0.05222929936305733,41,14.0,null,009466552-4,C2005,Stein Rebecca L. 1970,14804,3401274,text,The Anthropology of Religion Magic and Witchcraft    
    0.15159235668789808,119,14.0,null,008761451-0,C2001,Ignatieff Michael,3417,10503982,text,Human Rights as Politics and Idolatry    
    0.062420382165605096,49,14.0,The British Journal of Criminology,23636088,1977-01-01,Christie Nils,11694,14501998,text,Conflicts as Property    
    0.017834394904458598,14,14.0,The Modern Law Review,1096339,1987-07-01,Davies Martin,54138,15178264,text,Reading Cases    
    0.9146496815286624,1181,14.0,null,005573041-8,1907,Austen Jane 1775-1817,70,499603,text,Pride & Prejudice    
    0.3363057324840764,264,14.0,null,000292370-X,1982] C1970,Bentham Jeremy 1748-1832,1099,1039070,text,An Introduction to the Principles of Morals and Legislation    
    0.01910828025477707,15,14.0,null,001783223-3,C1989,Brown Desmond Haldane 1930,50133,2192414,text,The Genesis of the Canadian Criminal Code of 1892    
    0.9019108280254777,1117,14.0,null,007817614-X,C1998,Confucius,80,7975069,text,The Analects    
    0.10191082802547771,80,14.0,null,001047061-1,C1982,Ondaatje Michael 1943,6030,1621569,text,Running in the Family    
    0.017834394904458598,14,14.0,null,001024639-8,1982,Ogilvie M. H. (Margaret H.) 1948,54138,1603815,text,Historical Introduction to Legal Studies    
    0.0751592356687898,59,14.0,null,002019767-5,C1989,Vago Steven,9131,8113724,text,Social Change    
    0.38471337579617837,302,14.0,Poetry,20569747,1913-04-01,Pound Ezra,863,11299495,text,In a Station of the Metro    
    0.017834394904458598,14,13.0,null,000245227-8,C1983,Flanagan Thomas 1944,54138,1003559,text,Riel and the Rebellion : 1885 Reconsidered    
    0.06878980891719745,54,13.0,null,000841295-2,1975 C1968,Hobsbawm E. J. (Eric J.) 1917,10284,1453153,text,Captain Swing    
    0.02802547770700637,22,13.0,null,001008013-9,1982,Jones David J. V.,32049,1590708,text,Crime Protest Community and Police in Nineteenth-Century Britain    
    0.03821656050955414,30,13.0,null,001253106-5,1970,Chesney Kellow,21975,1786352,text,The Victorian Underworld    
    0.02929936305732484,23,13.0,null,001303286-0,1988,Palmer Stanley H.,30399,1828192,text,Police and Protest in England and Ireland 1780-1850    
    0.024203821656050957,19,13.0,null,001650412-7,C1989,Mandel Michael,38055,2092732,text,The Charter of Rights and the Legalization of Politics in Canada    
    0.016560509554140127,13,13.0,null,006370044-1,1968,Pugh R. B. (Ralph Bernard) 1910-1982,58799,5454492,text,Imprisonment in Medieval England    
    0.01910828025477707,15,13.0,null,003979854-2,C1994,Loo Tina Merrill 1962,50133,6853317,text,Making Law Order and Authority in British Columbia 1821-1871    
    0.01910828025477707,15,13.0,null,003644504-5,1974],Cooper David D. 1924,50133,6557604,text,The Lesson of the Scaffold : The Public Execution Controversy in Victorian England    
    0.02802547770700637,22,13.0,null,003658913-6,1777,Howard John 1726-1790,32049,6570512,text,The State of the Prisons in England and Wales    
    0.7426751592356687,672,13.0,null,002154021-7,1969,Marvell Andrew 1621-1678,230,8212818,text,To His Coy Mistress    
    0.017834394904458598,14,13.0,Acadiensis,30302725,1986-10-01,Marquis Greg,54138,11692453,text,A Machine of Oppression Under the Guise of the Law\: The Saint John Police Establishment 1860-1890    
    0.016560509554140127,13,13.0,Law & Society Review,10.2307/3053110,1979-10-01,Stone Thomas,58799,11532426,text,The Mounties as Vigilantes: Perceptions of Community and the Transformation of Law in the Yukon 1885-1897    
    0.13885350318471337,109,13.0,null,005301813-3,1903-09,Holdsworth William Searle Sir 1871-1944,3863,265144,text,A History of English Law    
    0.02165605095541401,17,13.0,null,000120205-7,1974,Driedger Elmer A.,43304,944976,text,The Construction of Statutes    
    0.016560509554140127,13,13.0,null,000614616-3,C1987,Smandych Russell Charles,58799,1267048,text,Canadian Criminal Justice History : An Annotated Bibliography    
    0.10955414012738854,86,13.0,null,000458541-0,198-?],Stephen James Fitzjames Sir 1829-1894,5430,1159031,text,A History of the Criminal Law of England    
    0.04713375796178344,37,13.0,null,000664234-9,1969],Platt Anthony M.,16905,1301788,text,The Child Savers; The Invention of Delinquency    
    0.017834394904458598,14,13.0,null,002182983-7,1974],Horn Michiel 1939- Comp,54138,8235854,text,Studies in Canadian Social History    
    0.8738853503184714,979,13.0,null,005271856-5,1961],Eliot T. S. (Thomas Stearns) 1888-1965,105,238986,text,The Waste Land    
    0.0267515923566879,21,13.0,null,000109462-9,1948-1986,Radzinowicz Leon Sir,33852,942265,text,A History of English Criminal Law and Its Administration From 1750    
    0.8802547770700637,1016,13.0,null,005851590-9,Ca. 1860],Shakespeare William 1564-1616,100,734648,text,King Lear    
    0.01910828025477707,15,13.0,null,000298009-6,1985,Green Thomas Andrew,50133,1043393,text,Verdict According to Conscience : Perspectives on the English Criminal Trial Jury 1200-1800    
    0.016560509554140127,13,13.0,null,000546683-0,C1986,Stenning Philip C.,58799,1219829,text,Appearing for the Crown : A Legal and Historical Review of Criminal Prosecutorial Authority in Canada    
    0.016560509554140127,13,13.0,null,000684354-9,1964,Rud\u00e9 George F. E.,58799,1319737,text,The Crowd in History : A Study of Popular Disturbances in France and England 1730-1848    
    0.07388535031847134,58,13.0,null,000937083-8,1981,Stone Lawrence,9337,1532271,text,The Past and the Present    
    0.03949044585987261,31,13.0,null,001026303-9,1981,Milsom S. F. C. (Stroud Francis Charles) 1923,21091,1605186,text,Historical Foundations of the Common Law    
    0.02802547770700637,22,13.0,null,001798811-X,1965],Lewis W. David (Walter David) 1931,32049,2204359,text,From Newgate to Dannemora; The Rise of the Penitentiary in New York 1796-1848    
    0.02038216560509554,16,13.0,null,001624411-7,C1988,Roberts Barbara Ann,46478,2073696,text,Whence They Came : Deportation From Canada 1900-1935    
    0.017834394904458598,14,13.0,null,011991878-1,2009,Sachs Albie 1935,54138,3079246,text,The Strange Alchemy of Life and Law    
    0.0840764331210191,66,13.0,null,009070045-7,2003,Linebaugh Peter,7850,3131806,text,The London Hanged : Crime and Civil Society in the Eighteenth Century    
    0.017834394904458598,14,13.0,null,003484581-X,1973,Atkin Ronald 1931,54138,6415172,text,Maintain the Right: The Early History of the North West Mounted Police 1873-1900    
    0.022929936305732482,18,13.0,null,003561389-0,1973,Bellamy John G. 1930,40521,6483371,text,Crime and Public Order in England in the Later Middle Ages    
    0.016560509554140127,13,13.0,null,007493311-6,C1997,Senior Hereward,58799,7742222,text,Constabulary : The Rise of Police Institutions in Britain the Commonwealth and the United States    
    0.025477707006369428,20,13.0,Past & Present,650668,1983-11-01,Stone Lawrence,35790,14524482,text,Interpersonal Violence in English Society 1300-1980    
    0.0535031847133758,42,13.0,Geography,40572924,1995-04-01,Law Chris,14348,14264033,text,The North West    
    0.08789808917197452,69,13.0,null,005196090-7,1962,Hart H. L. A. (Herbert Lionel Adolphus) 1907,7375,171786,text,Bentham    
    0.24076433121019108,189,13.0,null,000233817-3,1983,Karnow Stanley,1753,994897,text,Vietnam a History    
    0.01910828025477707,15,13.0,null,000336037-7,1978,Brown Lorne,50133,1072273,text,An Unauthorized History of the R C M P    
    0.024203821656050957,19,13.0,null,000186068-2,1967,Lane Roger,38055,958305,text,Policing the City : Boston 1822-1885    
    0.030573248407643312,24,13.0,null,000424610-1,1985,Beier A. L.,28802,1135982,text,Masterless Men : The Vagrancy Problem in England 1560-1640    
    0.017834394904458598,14,13.0,null,011289902-1,2007,Sullivan Ruth 1946,54138,2590896,text,Statutory Interpretation    
    0.08789808917197452,69,13.0,null,003122898-4,C1993,Friedman Lawrence Meir 1930,7375,6093597,text,Crime and Punishment in American History    
    0.02038216560509554,16,13.0,null,002345713-9,C1991,Carrigan D. Owen,46478,8365963,text,Crime and Punishment in Canada : A History    
    0.048407643312101914,38,13.0,null,005354995-3,1929],Howard John 1726-1790,16375,311691,text,The State of the Prisons    
    0.9987261146496815,3573,13.0,null,005018818-6,1994,Plato,2,16073,text,Republic    
    0.04331210191082802,34,13.0,null,000199233-3,1982,Evans Robin 1944,18760,968543,text,The Fabrication of Virtue : English Prison Architecture 1750-1840    
    0.016560509554140127,13,13.0,null,000537215-1,C1986,Romney Paul 1945,58799,1213234,text,Mr. Attorney : The Attorney General for Ontario in Court Cabinet and Legislature 1791-1899    
    0.10955414012738854,86,13.0,null,000648496-4,1987,Emsley Clive,5430,1290441,text,Crime and Society in England 1750-1900    
    0.030573248407643312,24,13.0,null,000388909-2,1985,Corrigan Philip Richard D.,28802,1111945,text,The Great Arch : English State Formation as Cultural Revolution    
    0.062420382165605096,49,13.0,null,000404923-3,C1975,Thompson E. P. (Edward Palmer) 1924-1993,11694,1122810,text,Whigs and Hunters : The Origin of the Black Act    
    0.9337579617834395,1293,13.0,null,000844672-5,C1976,Chopin Kate 1850-1904,54,1455944,text,The Awakening    
    0.310828025477707,244,13.0,null,000788090-1,1978],Frost Robert 1874-1963,1237,1408190,text,Stopping by Woods on a Snowy Evening    
    0.02038216560509554,16,13.0,null,004951578-0,1994,Sullivan Ruth 1946,46478,4474152,text,Driedger on the Construction of Statutes    
    0.01910828025477707,15,13.0,null,003459051-X,C1993,Greenwood F. Murray (Frank Murray) 1935,50133,6392424,text,Legacies of Fear : Law and Politics in Quebec in the Era of the French Revolution    
    0.025477707006369428,20,13.0,null,003561322-X,1972,Cockburn J. S.,35790,6483305,text,A History of English Assizes 1558-1714    
    0.02165605095541401,17,13.0,null,002507554-3,C1992,Hostettler John,43304,8494042,text,The Politics of Criminal Law : Reform in the Nineteenth Century    
    0.016560509554140127,13,13.0,The American Journal of Legal History,10.2307/845265,1980-04-01,Gordon Michael D.,58799,14109554,text,The Invention of a Common Law Crime: Perjury and the Elizabethan Courts    
    0.02038216560509554,16,13.0,Past & Present,650315,1974-08-01,Beier A. L.,46478,14525041,text,Vagrants and the Social Order in Elizabethan England    
    0.6038216560509554,501,12.0,null,005043230-3,1910,Dickens Charles 1812-1870,381,37183,text,Oliver Twist    
    0.044585987261146494,35,12.0,null,000501778-5,C1986,Collins Hugh 1953,18125,1188995,text,The Law of Contract    
    0.9898089171974522,2572,12.0,null,001620033-0,1987,Sophocles,9,2070454,text,Oedipus    
    0.5235668789808917,418,12.0,null,011311533-4,C2007,Kushner Tony,511,2604549,text,Angels in America    
    0.017834394904458598,14,12.0,American Anthropologist,3566910,2003-09-01,McLagan Meg,54138,11719846,text,Principles Publicity and Politics: Notes on Human Rights Media    
    0.02038216560509554,16,12.0,null,000290858-1,1984,Waddams S. M.,46478,1037965,text,The Law of Contracts    
    0.12229299363057325,96,12.0,null,001008253-0,1981,Cheshire G. C. (Geoffrey Chevalier) 1886-1978,4675,1590886,text,The Law of Contract    
    0.9414012738853503,1427,12.0,null,001408412-0,1947,Rousseau Jean-Jacques 1712-1778,48,1907245,text,The Social Contract    
    0.7312101910828025,656,12.0,null,009652843-5,C1982,Walker Alice 1944,239,3506860,text,The Color Purple    
    0.015286624203821656,12,12.0,Huntington Library Quarterly,3816885,1975-05-01,Gough Barry M.,64261,11254207,text,Keeping British Columbia British: The Law-And-Order Question on a Gold Mining Frontier    
    0.024203821656050957,19,12.0,Journal of Policy Analysis and Management,10.2307/3324528,1987-01-01,Nelson Robert H.,38055,13022716,text,Dispute Resolution    
    0.016560509554140127,13,12.0,Labour / Le Travail,10.2307/25140020,1981-04-01,Bleasdale Ruth,58799,14821721,text,Class Conflict on the Canals of Upper Canada in the 1840s    
    0.0267515923566879,21,12.0,null,000096185-X,1981,McConville Se\u00e1n,33852,938574,text,A History of English Prison Administration    
    0.1197452229299363,94,12.0,null,004295152-6,1826,Chitty J. Jr. -1838,4832,3928392,text,On Contracts    
    0.022929936305732482,18,12.0,Social History,4285163,1982-05-01,Sharpe J. A.,40521,10816889,text,The History of Crime in Late Medieval and Early Modern England: A Review of the Field    
    0.36942675159235666,290,12.0,Poetry,20587591,1959-09-01,Brooks Gwendolyn,918,11312718,text,We Real Cool    
    0.06369426751592357,50,12.0,University of Pennsylvania Law Review,10.2307/3310562,1964-11-01,Packer Herbert L.,11365,12106419,text,Two Models of the Criminal Process    
    0.14777070063694267,116,12.0,null,001120686-1,1983,Treitel G. H.,3519,1681238,text,The Law of Contract    
    0.02929936305732484,23,12.0,null,013838149-6,2013,Monahan Patrick,30399,5036180,text,Constitutional Law    
    0.05732484076433121,45,12.0,null,003595271-7,1965,Major William T.,13101,6513401,text,The Law of Contract    
    0.024203821656050957,19,12.0,null,010199892-9,2006,Brownsword Roger,38055,8988323,text,Contract Law : Themes for the Twenty-First Century    
    0.6152866242038216,514,12.0,null,005163165-2,n.d.],Dickens Charles 1812-1870,370,142396,text,A Christmas Carol    
    0.47770700636942676,378,12.0,null,005033496-4,1990,Marlowe Christopher 1564-1593,598,28718,text,Dr. Faustus    
    0.025477707006369428,20,12.0,null,009082559-4,2003,Waddams S. M.,35790,3140475,text,Dimensions of Private Law : Categories and Concepts in Anglo-American Legal Reasoning    
    0.02929936305732484,23,12.0,null,002293001-9,C1991,Backhouse Constance 1952,30399,8324701,text,Petticoats and Prejudice : Women and Law in Nineteenth-Century Canada    
    0.016560509554140127,13,11.0,null,000909358-3,C1980,Kealey Gregory S. 1948,58799,1509920,text,Toronto Workers Respond to Industrial Capitalism 1867-1892    
    0.016560509554140127,13,11.0,null,012142116-3,2009,Bala Nicholas C.,58799,6967194,text,Youth Criminal Justice Law    
    0.4789808917197452,379,11.0,null,003684226-5,1900],Tennyson Alfred Tennyson Baron 1809-1892,593,6592972,text,The Lady of Shalott    
    0.030573248407643312,24,11.0,null,003757276-8,1906-29,Webb Sidney 1859-1947,28802,6657454,text,English Local Government    
    0.2267515923566879,178,11.0,null,005448950-4,1977,Shaw Malcolm N. (Malcolm Nathan) 1947,1918,392714,text,International Law    
    0.513375796178344,410,11.0,null,005167872-1,187-?],Dickens Charles 1812-1870,528,146782,text,David Copperfield    
    0.6445859872611465,544,11.0,null,000188032-2,1955],Nabokov Vladimir Vladimirovich 1899-1977,334,959874,text,Lolita    
    0.9808917197452229,2023,11.0,null,005683551-5,1958,Chaucer Geoffrey -1400,16,593665,text,Canterbury Tales    
    0.02038216560509554,16,11.0,null,001423713-X,1922,Webb Sidney 1859-1947,46478,1920146,text,English Prisons Under Local Government    
    0.030573248407643312,24,11.0,null,003631620-2,1968,Walker Nigel,28802,6545901,text,Crime and Insanity in England    
    0.015286624203821656,12,11.0,null,007411051-9,1751,Fielding Henry 1707-1754,64261,7684043,text,An Enquiry Into the Causes of the Late Increase of Robbers &C. With Some Proposals for Remedying This Growing Evil    
    0.02802547770700637,22,11.0,null,007723849-4,C1996,Wah Fred 1939,32049,7908121,text,Diamond Grill    
    0.024203821656050957,19,11.0,Columbia Law Review,4099502,2005-10-01,Waldron Jeremy,38055,14858786,text,Torture and Positive Law: Jurisprudence for the White House    
    0.9668789808917198,1694,11.0,null,005861963-1,1995,Augustine Saint Bishop of Hippo,28,743815,text,Confessions    
    0.014012738853503185,11,11.0,null,001125018-6,C1982,Walden Keith 1948,70700,1684914,text,Visions of Order    
    0.41146496815286626,324,11.0,null,001612201-1,1923?],Walpole Horace 1717-1797,758,2064587,text,The Castle of Otranto    
    0.26369426751592356,207,11.0,null,006093695-9,189-],Milton John 1608-1674,1553,5219898,text,Lycidas    
    0.47388535031847134,375,11.0,Perspecta,10.2307/1567048,1982-01-01,Eliot T. S.,603,14671194,text,Tradition and the Individual Talent    
    0.014012738853503185,11,11.0,null,013868246-1,2013,Ogilvie M. H Author,70700,5054081,text,Bank and Customer Law in Canada    
    0.21146496815286625,166,11.0,Chicago Review,10.2307/25293011,1954-01-01,Keats John,2107,12664812,text,Ode to a Grecian Urn    
    0.889171974522293,1045,11.0,null,000255838-6,C1980,Locke John 1632-1704,92,1011532,text,Second Treatise of Government    
    0.8012738853503185,790,11.0,null,006978950-9,1944],Defoe Daniel 1661?-1731,170,5968606,text,Robinson    
    0.016560509554140127,13,11.0,null,007745357-3,C1998,Oliver Peter 1939,58799,7923728,text,Terror to Evil-Doers' : Prisons and Punishments in Nineteenth-Century Ontario    
    0.016560509554140127,13,11.0,null,002587080-7,C1992,Knopff Rainer 1948,58799,8557631,text,Charter Politics    
    0.014012738853503185,11,11.0,null,008554275-X,2000],Greenwood F. Murray (Frank Murray) 1935,70700,10361109,text,Uncertain Justice : Canadian Women and Capital Punishment 1754-1953    
    0.02802547770700637,22,11.0,The American Historical Review,10.2307/2652223,2001-02-01,Brown Kate,32049,11327664,text,Gridded Lives: Why Kazakhstan and Montana Are Nearly the Same Place    
    0.9375796178343949,1376,10.0,null,000205257-1,C1949,More Thomas Sir Saint 1478-1535,51,973301,text,Utopia    
    0.5872611464968153,478,10.0,null,000353118-X,1980,Rossetti Christina Georgina 1830-1894,408,1085711,text,Goblin Market    
    0.8178343949044586,827,10.0,null,000647533-7,1987,Wordsworth William 1770-1850,151,1289750,text,Lyrical Ballads 1805    
    0.29044585987261146,228,10.0,null,001409302-2,1965],Shelley Percy Bysshe 1792-1822,1371,1908019,text,A Defence of Poetry    
    0.7503184713375797,686,10.0,null,005889090-4,C1995,James Henry 1843-1916,221,767239,text,The Turn of the Screw    
    0.012738853503184714,10,10.0,null,005821233-7,1944],Livesay Dorothy 1909,78347,709192,text,Day and Night    
    0.39363057324840767,310,10.0,null,001542864-8,C1988,Campbell Joseph 1904-1987,828,2011844,text,The Power of Myth    
    0.8509554140127389,921,10.0,null,011815010-3,1996,Miller Arthur 1915-2005,124,2962542,text,Death of a Salesman    
    0.09681528662420383,76,10.0,null,003730557-3,1905,Thoreau Henry David 1817-1862 Author,6499,6633376,text,On the Duty of Civil Disobedience    
    0.016560509554140127,13,10.0,null,007431158-1,C1996,Van Camp Richard 1971,58799,7698777,text,The Lesser Blessed    
